2019-01-23,350067,1337,0.0038192688828138613,342995,1321,0.003851368095744836,14022,37,0.002638710597632292,357017,1358,0.0038037404381303973
2019-01-24,393824,1588,0.004032258064516129,386727,1633,0.004222616988211322,16997,57,0.0033535329764076013,403724,1689,0.00418355113889687
2019-01-25,453717,1915,0.004220692634395449,440786,1964,0.004455676904438889,20864,81,0.0038822852760736198,461650,2045,0.004429762807321564
2019-01-26,524440,2702,0.0051521623064602244,515016,2691,0.00522508038585209,13219,45,0.003404190937287238,528235,2736,0.005179512906187587
2019-01-27,403440,2115,0.005242415229030339,399009,2070,0.005187852905573559,10683,30,0.002808199943836001,409692,2100,0.005125801821856419
2019-01-28,276296,1111,0.004021049888525349,269494,1169,0.004337758911144589,16957,64,0.0037742525210827387,286451,1233,0.004304401101759114
2019-01-29,231215,990,0.004281729126570508,224628,956,0.004255925352137756,15800,60,0.0037974683544303796,240428,1016,0.004225797328098225
2019-02-01,190050,973,0.005119705340699816,187746,912,0.0048576267936467354,10519,53,0.005038501758722312,198265,965,0.00486722316092099
2019-02-02,192600,1084,0.005628245067497404,188078,1094,0.00581673560969385,7827,29,0.0037051232911715854,195905,1123,0.005732370281513999
2019-02-03,163102,861,0.005278905224951258,159384,830,0.005207549063895999,7913,23,0.0029066093769745988,167297,853,0.005098716653616024
2019-02-04,192310,738,0.003837553949352608,184965,771,0.004168356175492661,15211,45,0.002958385379002038,200176,816,0.004076412756774039
2019-02-05,332186,1330,0.004003781014251052,323661,1302,0.004022727483385394,14973,34,0.0022707540239097043,338634,1336,0.003945262436731102
2019-02-06,347143,1570,0.0045226318836905826,332111,1413,0.004254601624155779,22189,50,0.0022533687863355717,354300,1463,0.004129268981089472
2019-02-07,364741,1458,0.003997357028686109,349262,1499,0.004291906935194783,25233,70,0.002774144968889946,374495,1569,0.004189642051295745
2019-02-08,294738,1253,0.004251233298726327,287449,1157,0.004025061837056312,18427,46,0.002496336896944701,305876,1203,0.003932966300069309
2019-02-09,338066,1398,0.004135287192441712,329510,1483,0.0045006221358987585,17870,66,0.003693340794627868,347380,1549,0.004459093787782831
2019-02-10,345043,1582,0.004584935790611605,336677,1486,0.004413725915343192,16043,43,0.002680296702611731,352720,1529,0.004334883193467907
2019-02-11,341858,1718,0.005025478415014421,336173,1622,0.004824896704970358,10086,27,0.002676977989292088,346259,1649,0.004762331087422998
